hour,count
2023-07-16 06:00:00,903
2023-07-16 07:00:00,1182
2023-07-16 08:00:00,1455
2023-07-16 09:00:00,981
2023-07-16 10:00:00,1200
2023-07-16 11:00:00,1248
2023-07-16 12:00:00,1377
2023-07-16 13:00:00,1185
2023-07-16 14:00:00,1305
2023-07-16 15:00:00,1032
2023-07-16 16:00:00,1101
2023-07-16 17:00:00,729
2023-07-16 18:00:00,1191
2023-07-16 19:00:00,1203
2023-07-16 20:00:00,840
2023-07-16 21:00:00,459
2023-07-16 22:00:00,675
2023-07-16 23:00:00,1053
2023-07-17 00:00:00,792
2023-07-17 01:00:00,807
2023-07-17 02:00:00,1203
2023-07-17 03:00:00,1323
2023-07-17 04:00:00,486
2023-07-17 05:00:00,1212
2023-07-17 06:00:00,891
2023-07-17 07:00:00,1011
2023-07-17 08:00:00,1185
2023-07-17 09:00:00,909
2023-07-17 10:00:00,1038
2023-07-17 11:00:00,1131
2023-07-17 12:00:00,1023
2023-07-17 13:00:00,585
2023-07-17 14:00:00,846
2023-07-17 15:00:00,429
2023-07-17 16:00:00,669
2023-07-17 17:00:00,747
2023-07-17 18:00:00,891
2023-07-17 19:00:00,1176
2023-07-17 20:00:00,1026
2023-07-17 21:00:00,402
2023-07-17 22:00:00,807
2023-07-17 23:00:00,1008
2023-07-18 00:00:00,786
2023-07-18 01:00:00,726
2023-07-18 02:00:00,897
2023-07-18 03:00:00,795
2023-07-18 04:00:00,426
2023-07-18 05:00:00,1041
2023-07-18 06:00:00,300
2023-07-18 07:00:00,927
2023-07-18 08:00:00,858
2023-07-18 09:00:00,1020
2023-07-18 10:00:00,798
2023-07-18 11:00:00,663
2023-07-18 12:00:00,945
2023-07-18 13:00:00,660
2023-07-18 14:00:00,615
2023-07-18 15:00:00,228
2023-07-18 16:00:00,522
2023-07-18 17:00:00,903
2023-07-18 18:00:00,759
2023-07-18 19:00:00,333
2023-07-18 20:00:00,684
2023-07-18 21:00:00,771
2023-07-18 22:00:00,975
2023-07-18 23:00:00,579
2023-07-19 00:00:00,1275
2023-07-19 01:00:00,846
2023-07-19 02:00:00,882
2023-07-19 03:00:00,975
2023-07-19 04:00:00,588
2023-07-19 05:00:00,972
2023-07-19 06:00:00,525
2023-07-19 07:00:00,696
2023-07-19 08:00:00,702
2023-07-19 09:00:00,510
2023-07-19 10:00:00,816
2023-07-19 11:00:00,798
2023-07-19 12:00:00,819
2023-08-30 19:00:00,14350
2023-08-30 20:00:00,14922
2023-08-30 21:00:00,14940
2023-08-30 22:00:00,14892
2023-08-30 23:00:00,14718
2023-08-31 00:00:00,14922
2023-08-31 01:00:00,14937
2023-08-31 02:00:00,14877
2023-08-31 03:00:00,14838
2023-08-31 04:00:00,14919
2023-08-31 05:00:00,14928
2023-08-31 06:00:00,14793
2023-08-31 07:00:00,14760
2023-08-31 08:00:00,14868
2023-08-31 09:00:00,14859
2023-08-31 10:00:00,14830
2023-08-31 11:00:00,14771
2023-08-31 12:00:00,14760
2023-08-31 13:00:00,14814
2023-08-31 14:00:00,14805
2023-08-31 15:00:00,14844
2023-08-31 16:00:00,14964
2023-08-31 17:00:00,14988
2023-08-31 18:00:00,14781
2023-08-31 19:00:00,15045
2023-08-31 20:00:00,14979
2023-08-31 21:00:00,14991
2023-08-31 22:00:00,15057
2023-08-31 23:00:00,14985
2023-09-01 00:00:00,14991
2023-09-01 01:00:00,15060
2023-09-01 02:00:00,14964
2023-09-01 03:00:00,14955
2023-09-01 04:00:00,15021
2023-09-01 05:00:00,14982
2023-09-01 06:00:00,15084
2023-09-01 07:00:00,15072
2023-09-01 08:00:00,14757
2023-09-01 09:00:00,14940
2023-09-01 10:00:00,14994
2023-09-01 11:00:00,15039
2023-09-01 12:00:00,15051
2023-09-01 13:00:00,15126
2023-09-01 14:00:00,15081
2023-09-01 15:00:00,14820
2023-09-01 16:00:00,15018
2023-09-01 17:00:00,15084
2023-09-01 18:00:00,15132
2023-09-01 19:00:00,15036
2023-09-01 20:00:00,14913
2023-09-01 21:00:00,14946
2023-09-01 22:00:00,14727
2023-09-01 23:00:00,14796
2023-09-02 00:00:00,14943
2023-09-02 01:00:00,14883
2023-09-02 02:00:00,14934
2023-09-02 03:00:00,14895
2023-09-02 04:00:00,14997
2023-09-02 05:00:00,14916
2023-09-02 06:00:00,15042
2023-09-02 07:00:00,15129
2023-09-02 08:00:00,15063
2023-09-02 09:00:00,14916
2023-09-02 10:00:00,14871
2023-09-02 11:00:00,15018
2023-09-02 12:00:00,14991
2023-09-02 13:00:00,15045
2023-09-02 14:00:00,14985
2023-09-02 15:00:00,14943
2023-09-02 16:00:00,14826
2023-09-02 17:00:00,14886
2023-09-02 18:00:00,14865
2023-09-02 19:00:00,14922
2023-09-02 20:00:00,15030
2023-09-02 21:00:00,14796
2023-09-02 22:00:00,14892
2023-09-02 23:00:00,15033
2023-09-03 00:00:00,14841
2023-09-03 01:00:00,14847
2023-09-03 02:00:00,15117
2023-09-03 03:00:00,14916
2023-09-03 04:00:00,14937
2023-09-03 05:00:00,15045
2023-09-03 06:00:00,15027
2023-09-03 07:00:00,15081
2023-09-03 08:00:00,14985
2023-09-03 09:00:00,15054
2023-09-03 10:00:00,15051
2023-09-03 11:00:00,14952
2023-09-03 12:00:00,14895
2023-09-03 13:00:00,14979
2023-09-03 14:00:00,14991
2023-09-03 15:00:00,14994
2023-09-03 16:00:00,14871
2023-09-03 17:00:00,14961
2023-09-03 18:00:00,14988
2023-09-03 19:00:00,14742
2023-09-03 20:00:00,15087
2023-09-03 21:00:00,14994
2023-09-03 22:00:00,15066
2023-09-03 23:00:00,15096
2023-09-04 00:00:00,14943
2023-09-04 01:00:00,15138
2023-09-04 02:00:00,15063
2023-09-04 03:00:00,14922
2023-09-04 04:00:00,14991
2023-09-04 05:00:00,14760
2023-09-04 06:00:00,15009
2023-09-04 07:00:00,14883
2023-09-04 08:00:00,15066
2023-09-04 09:00:00,14958
2023-09-04 10:00:00,14985
2023-09-04 11:00:00,14976
2023-09-04 12:00:00,14925
2023-09-04 13:00:00,14877
2023-09-04 14:00:00,15132
2023-09-04 15:00:00,14892
2023-09-04 16:00:00,14991
2023-09-04 17:00:00,15051
2023-09-04 18:00:00,14937
2023-09-04 19:00:00,14940
2023-09-04 20:00:00,14907
2023-09-04 21:00:00,15036
2023-09-04 22:00:00,14970
2023-09-04 23:00:00,14994
2023-09-05 00:00:00,14979
2023-09-05 01:00:00,14985
2023-09-05 02:00:00,15021
2023-09-05 03:00:00,14991
2023-09-05 04:00:00,14907
2023-09-05 05:00:00,14970
2023-09-05 06:00:00,14982
2023-09-05 07:00:00,15054
2023-09-05 08:00:00,15039
2023-09-05 09:00:00,14952
2023-09-05 10:00:00,15057
2023-09-05 11:00:00,14928
2023-09-05 12:00:00,15024
2023-09-05 13:00:00,14991
2023-09-05 14:00:00,14991
2023-09-05 15:00:00,15081
2023-09-05 16:00:00,15039
2023-09-05 17:00:00,14934
2023-09-05 18:00:00,14958
2023-09-05 19:00:00,14946
2023-09-05 20:00:00,14802
2023-09-05 21:00:00,15000
2023-09-05 22:00:00,15033
2023-09-05 23:00:00,15069
2023-09-06 00:00:00,14973
2023-09-06 01:00:00,15021
2023-09-06 02:00:00,14802
2023-09-06 03:00:00,14952
2023-09-06 04:00:00,15051
2023-09-06 05:00:00,15108
2023-09-06 06:00:00,15153
2023-09-06 07:00:00,15084
2023-09-06 08:00:00,15000
2023-09-06 09:00:00,15156
2023-09-06 10:00:00,15036
2023-09-06 11:00:00,15069
2023-09-06 12:00:00,15021
2023-09-06 13:00:00,14328
2023-09-06 14:00:00,15030
